[2024-07-07T00:08:09,768] [main] INFO : Expected Apply now URL and Actual Apply now URL are the same (verifying Apply URL - Passed)
[2024-07-07T00:08:13,359] [main] INFO : Expected Sapphire Preferred learn more URL and actual Sapphire Preferred learn more URL are same (verifying learn more URL - Passed)
[2024-07-07T00:08:17,068] [main] INFO : Clicked Freedom Unlimited Apply, new window should open
[2024-07-07T00:08:18,269] [main] INFO : Expected Apply now URL and Actual Apply now URL are the same (verifying Freedom Apply URL - Passed)
[2024-07-07T00:08:21,695] [main] INFO : Expected Learn more URL and Actual Learn more URL are the same (verifying Freedom Learn moreURL - Passed)
[2024-07-07T00:08:28,415] [main] INFO : Clicked Amazon learn more, new window should open
[2024-07-07T00:08:28,436] [main] INFO : Expected Learn URL and Actual Learn more URL are the same (verifying Amazon learn more URL - Passed)
[2024-07-07T00:15:50,526] [main] INFO : msedge browser initialized successfully
[2024-07-07T00:15:56,950] [main] INFO : URL opened successfully
[2024-07-07T00:15:57,062] [main] INFO : Navigating to URL: https://creditcards.chase.com/
[2024-07-07T00:15:57,361] [main] INFO : Clicked 'Apply now' button, a new window should open
[2024-07-07T00:15:58,214] [main] INFO : Expected Apply now URL and Actual Apply now URL are the same (verifying Apply URL - Passed)
[2024-07-07T00:16:02,329] [main] INFO : Expected Sapphire Preferred learn more URL and actual Sapphire Preferred learn more URL are same (verifying learn more URL - Passed)
[2024-07-07T00:16:06,040] [main] INFO : Clicked Freedom Unlimited Apply, new window should open
[2024-07-07T00:16:06,836] [main] INFO : Expected Apply now URL and Actual Apply now URL are the same (verifying Freedom Apply URL - Passed)
[2024-07-07T00:16:11,499] [main] INFO : Expected Learn more URL and Actual Learn more URL are the same (verifying Freedom Learn moreURL - Passed)
[2024-07-07T00:16:18,294] [main] INFO : Clicked Amazon learn more, new window should open
[2024-07-07T00:16:18,319] [main] INFO : Expected Learn URL and Actual Learn more URL are the same (verifying Amazon learn more URL - Passed)
[2024-07-07T00:16:22,205] [main] INFO : Expected Apply now URL and Actual Apply now URL are same (verifying Sapphire Reserve Apply Now URL - Passed)
[2024-07-07T00:16:26,619] [main] INFO : Expected Learn more URL and Actual Learn more URL are same (verifying Sapphire Reserve Learn more URL - Passed)
[2024-07-07T00:16:31,247] [main] INFO : Expected Apply now URL and Actual Apply now URL are same (verifying Southwest Rapid Rewards Apply URL - Passed)
[2024-07-07T00:16:35,030] [main] INFO : Expected Learn more URL and Actual Learn more URL are same (verifying Southwest Rapid Rewards Learn more URL - Passed)
[2024-07-07T00:16:39,294] [main] INFO : Expected Apply now URL and Actual Apply now URL are same (verifying United Apply URL - Passed)
[2024-07-07T00:16:42,801] [main] INFO : Expected Learn now URL and Actual Learn now URL is same (verifying United Learn more URL - Passed
[2024-07-11T14:12:11,503] [main] INFO : msedge browser initialized successfully
[2024-07-11T14:12:19,523] [main] INFO : URL opened successfully
[2024-07-11T14:12:19,637] [main] INFO : Navigating to URL: https://creditcards.chase.com/
[2024-07-11T14:14:10,981] [main] INFO : msedge browser initialized successfully
[2024-07-11T14:14:19,766] [main] INFO : URL opened successfully
[2024-07-11T14:14:19,867] [main] INFO : Navigating to URL: https://creditcards.chase.com/
[2024-07-11T14:49:07,540] [main] INFO : msedge browser initialized successfully
[2024-07-11T14:49:19,624] [main] INFO : URL opened successfully
[2024-07-11T14:49:19,736] [main] INFO : Navigating to URL: https://creditcards.chase.com/
[2024-07-11T14:49:21,540] [main] INFO : Expected Apply now URL and Actual Apply now URL is same ( Verifying Ink Cash Apply now URL - Passed
[2024-07-11T14:51:11,860] [main] INFO : msedge browser initialized successfully
[2024-07-11T14:51:17,859] [main] INFO : URL opened successfully
[2024-07-11T14:51:17,964] [main] INFO : Navigating to URL: https://creditcards.chase.com/
[2024-07-11T14:51:19,410] [main] INFO : Expected Apply now URL and Actual Apply now URL is same ( Verifying Ink Cash Apply now URL - Passed
[2024-07-11T14:54:23,272] [main] INFO : msedge browser initialized successfully
[2024-07-11T14:54:29,588] [main] INFO : URL opened successfully
[2024-07-11T14:54:29,703] [main] INFO : Navigating to URL: https://creditcards.chase.com/
[2024-07-11T14:54:31,330] [main] INFO : Expected Apply now URL and Actual Apply now URL is same ( Verifying Ink Cash Apply now URL - Passed
[2024-07-11T15:08:07,108] [main] INFO : msedge browser initialized successfully
[2024-07-11T15:08:13,625] [main] INFO : URL opened successfully
[2024-07-11T15:08:13,724] [main] INFO : Navigating to URL: https://creditcards.chase.com/
[2024-07-11T16:04:52,167] [main] INFO : msedge browser initialized successfully
